"","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","videoId","textDisplay","textOriginal","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"663","Tov","https://yt3.ggpht.com/a/AGF-l78jpvyxQTzS1Y-D9VY4jn3ecDXasnK4ArHrJQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCQTjDXw45ZZszGskxI5hlJQ","UCQTjDXw45ZZszGskxI5hlJQ","bsWWHo4KDHE","Actually, C++ has influenced Java...","Actually, C++ has influenced Java...","TRUE","none","0","2013-02-25T16:57:06.000Z","2013-02-25T16:57:06.000Z","UgyfmS5pIY5J_qhZohh4AaABAg",NA,NA
"664","Anitej Banerjee","https://yt3.ggpht.com/a/AGF-l7-JnDSlkGvQEgeXdKY2ySp1OG765IieY7-pUw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCr5TxHxxtMswrNM4QUnwZXg","UCr5TxHxxtMswrNM4QUnwZXg","bsWWHo4KDHE","Call me maybe :) :P 
","Call me maybe :) :P 
","TRUE","none","0","2013-02-23T15:41:35.000Z","2013-02-23T15:41:35.000Z","UgycczvUn93bTeJ1aWN4AaABAg",NA,NA
"665","Anitej Banerjee","https://yt3.ggpht.com/a/AGF-l7-JnDSlkGvQEgeXdKY2ySp1OG765IieY7-pUw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCr5TxHxxtMswrNM4QUnwZXg","UCr5TxHxxtMswrNM4QUnwZXg","bsWWHo4KDHE","Code::Blocks
Check out Video No.1 :)
","Code::Blocks
Check out Video No.1 :)
","TRUE","none","0","2013-02-23T15:41:00.000Z","2013-02-23T15:41:00.000Z","UgyV0nDX1o9zE3EQo_p4AaABAg",NA,NA
"666","ABO 3TB","https://yt3.ggpht.com/a/AGF-l79_F51ktyzSufEaR8ZpwDzyVnDTInNTj9eg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC_w7Z0OYU9Obj0RPPd5dNyw","UC_w7Z0OYU9Obj0RPPd5dNyw","bsWWHo4KDHE","youuuuuuuuuuuuu made my life easier thaaaaaaaank u
","youuuuuuuuuuuuu made my life easier thaaaaaaaank u
","TRUE","none","0","2013-02-22T01:39:26.000Z","2013-02-22T01:39:26.000Z","Ugz2wmb9Hfq1srxkF6d4AaABAg",NA,NA
"667","Thee SpongeSir SophisticatedPants","https://yt3.ggpht.com/a/AGF-l7-QSbD6C6LORS23hvlZ-flfZQ-jjCizJtSLPA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCyUKOhAV-8o1dg5E_tC_SOQ","UCyUKOhAV-8o1dg5E_tC_SOQ","bsWWHo4KDHE","Geez, its just coding","Geez, its just coding","TRUE","none","0","2013-02-19T01:21:47.000Z","2013-02-19T01:21:47.000Z","UgxicVZhIwGeaUcewt14AaABAg",NA,NA
"668","Jeroen Bollen","https://yt3.ggpht.com/a/AGF-l7_Idb7jt426cdPPfkFUh2ZvSz4NEUZJ8KLt2A=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCyv_bF_G9BrHKNZp9GW0UMw","UCyv_bF_G9BrHKNZp9GW0UMw","bsWWHo4KDHE","yup","yup","TRUE","none","0","2013-02-15T19:23:56.000Z","2013-02-15T19:23:56.000Z","UgwzbMg8mcAtODk67CR4AaABAg",NA,NA
"669",".","https://yt3.ggpht.com/a/AGF-l79rPYsXCvkhnakNwvdwPLyBiBjcB_bjG4RRGw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC8IRvTTSOurk5Fo0njeigQg","UC8IRvTTSOurk5Fo0njeigQg","bsWWHo4KDHE","*compile me maybe","*compile me maybe","TRUE","none","0","2013-02-13T04:53:21.000Z","2013-02-13T04:53:21.000Z","Ugx43La2dRT4yAbYekx4AaABAg",NA,NA
"670","Aylii","https://yt3.ggpht.com/a/AGF-l7-H3HfFaAjZORDooBoksMHiYLw4i9_6BCTu7g=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC9a-Rk5OjocoU2U-w73CvgA","UC9a-Rk5OjocoU2U-w73CvgA","bsWWHo4KDHE","Code::blocks.","Code::blocks.","TRUE","none","0","2013-02-11T17:21:52.000Z","2013-02-11T17:21:52.000Z","UgxJkH2ZsUWsMRoiqBR4AaABAg",NA,NA
"671","<U+05DE><U+05D4> <U+05D4><U+05DE><U+05E8><U+05D2><U+05E9> <U+05D1><U+05E2><U+05DC> <U+05D4><U+05D1><U+05D9><U+05EA>","https://yt3.ggpht.com/a/AGF-l7-5_XJwmKjp8UQNdnnXNKdaUzqAq4bvvRpjxA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCWInsUdzXcd87qrTUc6Btgg","UCWInsUdzXcd87qrTUc6Btgg","bsWWHo4KDHE","I like when you make C++ talk","I like when you make C++ talk","TRUE","none","0","2013-02-10T11:14:48.000Z","2013-02-10T11:14:48.000Z","UgwwVf3Qhjd2WCrwesV4AaABAg",NA,NA
"672","Mark Steven Luber","https://yt3.ggpht.com/a/AGF-l78m4dIO_CHvrxCx4QoSOV2jR7LdpylJ-WzRsQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCiWcStdTYEhhnxxVT_-dZ4Q","UCiWcStdTYEhhnxxVT_-dZ4Q","bsWWHo4KDHE","What program are you using for this?
is it Visual Studio?","What program are you using for this?
is it Visual Studio?","TRUE","none","0","2013-02-10T05:15:50.000Z","2013-02-10T05:15:50.000Z","Ugzn4ZAff0oGEB-b38F4AaABAg",NA,NA
